Statistical profiling result from isolate-0x108000000-v8.log, (10195 ticks, 81 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     10    0.1%    0.1%  LazyCompile: *BufferReader.readUInt32LE /Users/ryan/dev/bsv/lib/encoding/bufferreader.js:83:48
      9    0.1%    0.1%  LazyCompile: *getNAF /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/utils.js:15:16
      9    0.1%    0.1%  LazyCompile: *_zeroDbl /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:667:46
      9    0.1%    0.1%  LazyCompile: *<anonymous> /Users/ryan/dev/bsv/lib/transaction/transaction.js:533:45
      9    0.1%    0.1%  Builtin: GetProperty
      9    0.1%    0.1%  Builtin: AdaptorWithBuiltinExitFrame
      8    0.1%    0.1%  LazyCompile: *JPoint /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:490:16
      7    0.1%    0.1%  LazyCompile: *mulTo /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:1660:39
      6    0.1%    0.1%  LazyCompile: *negate /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:465:26
      6    0.1%    0.1%  LazyCompile: *mixedAdd /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:569:46
      6    0.1%    0.1%  LazyCompile: *innerOk assert.js:328:17
      6    0.1%    0.1%  LazyCompile: *getJSF /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/utils.js:45:16
      6    0.1%    0.1%  LazyCompile: *_fixedNafMul /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/base.js:51:57
      6    0.1%    0.1%  Builtin: RecordWrite
      5    0.0%    0.1%  LazyCompile: ~BN.toBuffer /Users/ryan/dev/bsv/lib/crypto/bn.js:105:34
      5    0.0%    0.1%  LazyCompile: *write buffer.js:896:40
      5    0.0%    0.1%  LazyCompile: *toArrayLike /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:524:51
      5    0.0%    0.1%  LazyCompile: *ireduce /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2955:47
      5    0.0%    0.1%  LazyCompile: *add /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:532:36
      5    0.0%    0.1%  LazyCompile: *BufferWriter.varintBufNum /Users/ryan/dev/bsv/lib/encoding/bufferwriter.js:106:38
      5    0.0%    0.1%  Builtin: KeyedLoadIC
      5    0.0%    0.1%  Builtin: ArraySome
      5    0.0%    0.1%  Builtin: Add {1}
      4    0.0%    0.0%  LazyCompile: ~divmod /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2328:41
      4    0.0%    0.0%  LazyCompile: ~comb10MulTo /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:1036:42
      4    0.0%    0.0%  LazyCompile: ~GetPrevoutHash /Users/ryan/dev/bsv/lib/transaction/sighash.js:31:27
      4    0.0%    0.0%  LazyCompile: *toString /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:429:45
      4    0.0%    0.0%  LazyCompile: *neg /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:458:35
      4    0.0%    0.0%  LazyCompile: *cmp /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2755:35
      4    0.0%    0.0%  LazyCompile: *Hash.hmac /Users/ryan/dev/bsv/lib/crypto/hash.node.js:118:22
      4    0.0%    0.0%  Builtin: LoadIC
      4    0.0%    0.0%  Builtin: GreaterThan
      3    0.0%    0.0%  LazyCompile: ~stringSlice buffer.js:589:21
      3    0.0%    0.0%  LazyCompile: ~sighash /Users/ryan/dev/bsv/lib/transaction/sighash.js:143:32
      3    0.0%    0.0%  LazyCompile: ~byteLength buffer.js:509:20
      3    0.0%    0.0%  LazyCompile: ~Script.toBuffer /Users/ryan/dev/bsv/lib/script/script.js:110:38
      3    0.0%    0.0%  LazyCompile: *stringSlice buffer.js:589:21
      3    0.0%    0.0%  LazyCompile: *redNeg /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2918:41
      3    0.0%    0.0%  LazyCompile: *isub /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:3189:38
      3    0.0%    0.0%  LazyCompile: *cmpn /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2726:37
      3    0.0%    0.0%  LazyCompile: *checkInt internal/buffer.js:33:18
      3    0.0%    0.0%  LazyCompile: *_verify1 /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:3135:46
      3    0.0%    0.0%  Builtin: StringAdd_ConvertRight_NotTenured
      3    0.0%    0.0%  Builtin: NumberToString
      3    0.0%    0.0%  Builtin: KeyedStoreIC
      3    0.0%    0.0%  Builtin: ArrayBufferConstructor
      2    0.0%    0.0%  Stub: CallApiCallbackStub
      2    0.0%    0.0%  LazyCompile: ~writeU_Int8 internal/buffer.js:554:21
      2    0.0%    0.0%  LazyCompile: ~write buffer.js:896:40
      2    0.0%    0.0%  LazyCompile: ~validateString internal/validators.js:123:24
      2    0.0%    0.0%  LazyCompile: ~toString buffer.js:643:46
      2    0.0%    0.0%  LazyCompile: ~sighashForForkId /Users/ryan/dev/bsv/lib/transaction/sighash.js:24:33
      2    0.0%    0.0%  LazyCompile: ~reverse /Users/ryan/dev/bsv/lib/util/buffer.js:154:29
      2    0.0%    0.0%  LazyCompile: ~invm /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2675:37
      2    0.0%    0.0%  LazyCompile: ~fromString buffer.js:334:20
      2    0.0%    0.0%  LazyCompile: ~decodeUnsafe /Users/ryan/dev/bsv/node_modules/base-x/index.js:77:25
      2    0.0%    0.0%  LazyCompile: ~dblp /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:605:38
      2    0.0%    0.0%  LazyCompile: ~checkBounds internal/buffer.js:27:21
      2    0.0%    0.0%  LazyCompile: ~andln /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2688:39
      2    0.0%    0.0%  LazyCompile: ~Script.buildPublicKeyHashOut /Users/ryan/dev/bsv/lib/script/script.js:832:41
      2    0.0%    0.0%  LazyCompile: ~Script.buildPublicKeyHashIn /Users/ryan/dev/bsv/lib/script/script.js:945:40
      2    0.0%    0.0%  LazyCompile: ~Output /Users/ryan/dev/bsv/lib/transaction/output.js:16:17
      2    0.0%    0.0%  LazyCompile: ~Opcode /Users/ryan/dev/bsv/lib/opcode.js:8:17
      2    0.0%    0.0%  LazyCompile: ~Module._findPath internal/modules/cjs/loader.js:220:28
      2    0.0%    0.0%  LazyCompile: ~Hash internal/crypto/hash.js:29:14
      2    0.0%    0.0%  LazyCompile: ~BufferReader /Users/ryan/dev/bsv/lib/encoding/bufferreader.js:8:42
      2    0.0%    0.0%  LazyCompile: ~BN /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:21:15
      2    0.0%    0.0%  LazyCompile: *assert /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:5:19
      2    0.0%    0.0%  LazyCompile: *_wordDiv /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2250:45
      2    0.0%    0.0%  LazyCompile: *_normSign /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:340:47
      2    0.0%    0.0%  LazyCompile: *_ishlnsubmul /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2214:53
      2    0.0%    0.0%  LazyCompile: *_initArray /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:143:49
      2    0.0%    0.0%  Builtin: StoreIC_Uninitialized
      2    0.0%    0.0%  Builtin: KeyedLoadIC_Megamorphic
      2    0.0%    0.0%  Builtin: CEntry_Return1_DontSaveFPRegs_ArgvOnStack_NoBuiltinExit
      1    0.0%    0.0%  Script: ~<anonymous> /Users/ryan/dev/bsv/test.js:1:11
      1    0.0%    0.0%  RegExp: ^[0-9a-fA-F]+$
      1    0.0%    0.0%  LazyCompile: ~writeU_Int32LE internal/buffer.js:511:24
      1    0.0%    0.0%  LazyCompile: ~writeU_Int16LE internal/buffer.js:541:24
      1    0.0%    0.0%  LazyCompile: ~writeUInt8 internal/buffer.js:568:20
      1    0.0%    0.0%  LazyCompile: ~writeInt32LE internal/buffer.js:681:22
      1    0.0%    0.0%  LazyCompile: ~verify /Users/ryan/dev/bsv/lib/transaction/sighash.js:258:17
      1    0.0%    0.0%  LazyCompile: ~validate /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/base.js:260:49
      1    0.0%    0.0%  LazyCompile: ~ushrn /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2076:39
      1    0.0%    0.0%  LazyCompile: ~ucmp /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2765:37
      1    0.0%    0.0%  LazyCompile: ~toString /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:429:45
      1    0.0%    0.0%  LazyCompile: ~toRed /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2834:39
      1    0.0%    0.0%  LazyCompile: ~toArray /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:520:43
      1    0.0%    0.0%  LazyCompile: ~smallMulTo /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:992:23
      1    0.0%    0.0%  LazyCompile: ~slowCases internal/util.js:107:19
      1    0.0%    0.0%  LazyCompile: ~set /Users/ryan/dev/bsv/lib/transaction/output.js:57:17
      1    0.0%    0.0%  LazyCompile: ~reversebuf /Users/ryan/dev/bsv/lib/crypto/bn.js:7:27
      1    0.0%    0.0%  LazyCompile: ~redInvm /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2911:43
      1    0.0%    0.0%  LazyCompile: ~readUInt16LE internal/buffer.js:127:22
      1    0.0%    0.0%  LazyCompile: ~normalizeEncoding internal/util.js:102:27
      1    0.0%    0.0%  LazyCompile: ~mulAdd /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:434:41
      1    0.0%    0.0%  LazyCompile: ~isub /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:922:37
      1    0.0%    0.0%  LazyCompile: ~isOdd /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2683:39
      1    0.0%    0.0%  LazyCompile: ~isBN /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:57:27
      1    0.0%    0.0%  LazyCompile: ~iaddn /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2127:39
      1    0.0%    0.0%  LazyCompile: ~getX /Users/ryan/dev/bsv/lib/crypto/point.js:86:38
      1    0.0%    0.0%  LazyCompile: ~getNAF /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/utils.js:15:16
      1    0.0%    0.0%  LazyCompile: ~getN /Users/ryan/dev/bsv/lib/crypto/point.js:75:28
      1    0.0%    0.0%  LazyCompile: ~getJSF /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/utils.js:45:16
      1    0.0%    0.0%  LazyCompile: ~getDefaultEncoding internal/crypto/util.js:36:28
      1    0.0%    0.0%  LazyCompile: ~fromObject buffer.js:404:20
      1    0.0%    0.0%  LazyCompile: ~fromArrayLike buffer.js:365:23
      1    0.0%    0.0%  LazyCompile: ~from buffer.js:199:28
      1    0.0%    0.0%  LazyCompile: ~forEachInput /Users/ryan/dev/bsv/lib/transaction/transaction.js:1084:45
      1    0.0%    0.0%  LazyCompile: ~eq /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:452:33
      1    0.0%    0.0%  LazyCompile: ~dirname path.js:1264:28
      1    0.0%    0.0%  LazyCompile: ~digest internal/crypto/hash.js:68:40
      1    0.0%    0.0%  LazyCompile: ~convertTo /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:3337:48
      1    0.0%    0.0%  LazyCompile: ~cmp /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2755:35
      1    0.0%    0.0%  LazyCompile: ~_zeroDbl /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:667:46
      1    0.0%    0.0%  LazyCompile: ~_verify2 /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:3140:46
      1    0.0%    0.0%  LazyCompile: ~_ishlnsubmul /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:2214:53
      1    0.0%    0.0%  LazyCompile: ~_initNumber /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:113:51
      1    0.0%    0.0%  LazyCompile: ~_initArray /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:143:49
      1    0.0%    0.0%  LazyCompile: ~_hasDoubles /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/base.js:323:55
      1    0.0%    0.0%  LazyCompile: ~_getNAFPoints /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/base.js:351:59
      1    0.0%    0.0%  LazyCompile: ~_endoWnafMulAdd /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:220:29
      1    0.0%    0.0%  LazyCompile: ~_endoSplit /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:169:54
      1    0.0%    0.0%  LazyCompile: ~_.isUndefined.t /Users/ryan/dev/bsv/lib/util/_.js:9:17
      1    0.0%    0.0%  LazyCompile: ~UnspentOutput /Users/ryan/dev/bsv/lib/transaction/unspentoutput.js:26:24
      1    0.0%    0.0%  LazyCompile: ~TransactionSignature._checkObjectArgs /Users/ryan/dev/bsv/lib/transaction/signature.js:47:60
      1    0.0%    0.0%  LazyCompile: ~Transaction.fromBufferReader /Users/ryan/dev/bsv/lib/transaction/transaction.js:290:51
      1    0.0%    0.0%  LazyCompile: ~Script.fromBuffer /Users/ryan/dev/bsv/lib/script/script.js:53:30
      1    0.0%    0.0%  LazyCompile: ~Script._addByType /Users/ryan/dev/bsv/lib/script/script.js:667:40
      1    0.0%    0.0%  LazyCompile: ~PublicKeyHashInput.getSignatures /Users/ryan/dev/bsv/lib/transaction/input/publickeyhash.js:34:55
      1    0.0%    0.0%  LazyCompile: ~PublicKey.toBuffer.PublicKey.toDER /Users/ryan/dev/bsv/lib/publickey.js:325:69
      1    0.0%    0.0%  LazyCompile: ~PublicKey /Users/ryan/dev/bsv/lib/publickey.js:36:20
      1    0.0%    0.0%  LazyCompile: ~Module._resolveLookupPaths internal/modules/cjs/loader.js:400:38
      1    0.0%    0.0%  LazyCompile: ~Module._resolveFilename internal/modules/cjs/loader.js:547:35
      1    0.0%    0.0%  LazyCompile: ~Module._compile internal/modules/cjs/loader.js:650:37
      1    0.0%    0.0%  LazyCompile: ~Module internal/modules/cjs/loader.js:102:16
      1    0.0%    0.0%  LazyCompile: ~JPoint /Users/ryan/dev/bsv/node_modules/elliptic/lib/elliptic/curve/short.js:490:16
      1    0.0%    0.0%  LazyCompile: ~Hash.sha256sha256 /Users/ryan/dev/bsv/lib/crypto/hash.node.js:52:30
      1    0.0%    0.0%  LazyCompile: ~Hash.hmac /Users/ryan/dev/bsv/lib/crypto/hash.node.js:118:22
      1    0.0%    0.0%  LazyCompile: ~GetSequenceHash /Users/ryan/dev/bsv/lib/transaction/sighash.js:44:28
