Statistical profiling result from isolate-0x108000000-v8.log, (1152 ticks, 17 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
     30    2.6%          /usr/lib/system/libsystem_platform.dylib
     25    2.2%          /usr/lib/system/libsystem_malloc.dylib
      5    0.4%          /usr/lib/system/libsystem_kernel.dylib
      4    0.3%          /usr/lib/system/libsystem_pthread.dylib
      2    0.2%          /usr/lib/libc++.1.dylib

 [JavaScript]:
   ticks  total  nonlib   name
     56    4.9%    5.2%  LazyCompile: *<anonymous> /Users/ryan/dev/bsv/lib/transaction/transaction.js:533:45
     17    1.5%    1.6%  Builtin: ArraySome
     16    1.4%    1.5%  Builtin: CallFunction_ReceiverIsAny
     15    1.3%    1.4%  LazyCompile: *stringSlice buffer.js:589:21
     15    1.3%    1.4%  Builtin: ArgumentsAdaptorTrampoline
      9    0.8%    0.8%  Stub: CallApiCallbackStub
      8    0.7%    0.7%  Builtin: InterpreterEntryTrampoline
      7    0.6%    0.6%  LazyCompile: *decodeUnsafe /Users/ryan/dev/bsv/node_modules/base-x/index.js:77:25
      7    0.6%    0.6%  Builtin: Call_ReceiverIsAny
      6    0.5%    0.6%  Builtin: GetProperty
      4    0.3%    0.4%  LazyCompile: ~_.isArray.t /Users/ryan/dev/bsv/lib/util/_.js:5:13
      4    0.3%    0.4%  Builtin: StringEqual
      3    0.3%    0.3%  LazyCompile: ~comb10MulTo /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:1036:42
      3    0.3%    0.3%  LazyCompile: ~assertSize internal/crypto/random.js:29:20
      3    0.3%    0.3%  Builtin: KeyedLoadIC_Megamorphic
      3    0.3%    0.3%  Builtin: KeyedLoadIC
      3    0.3%    0.3%  Builtin: CreateTypedArray
      2    0.2%    0.2%  LazyCompile: ~require internal/modules/cjs/helpers.js:19:19
      2    0.2%    0.2%  LazyCompile: ~isub /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:922:37
      2    0.2%    0.2%  LazyCompile: ~get /Users/ryan/dev/bsv/lib/networks.js:29:14
      2    0.2%    0.2%  LazyCompile: ~dirname path.js:1264:28
      2    0.2%    0.2%  LazyCompile: ~decodeUnsafe /Users/ryan/dev/bsv/node_modules/base-x/index.js:77:25
      2    0.2%    0.2%  LazyCompile: ~Script.buildPublicKeyHashOut /Users/ryan/dev/bsv/lib/script/script.js:832:41
      2    0.2%    0.2%  LazyCompile: ~Address._classifyArguments /Users/ryan/dev/bsv/lib/address.js:95:49
      2    0.2%    0.2%  LazyCompile: *get /Users/ryan/dev/bsv/lib/networks.js:29:14
      2    0.2%    0.2%  Builtin: StoreIC
      2    0.2%    0.2%  Builtin: LoadIC
      2    0.2%    0.2%  Builtin: ArrayPrototypePush
      1    0.1%    0.1%  LazyCompile: ~write buffer.js:896:40
      1    0.1%    0.1%  LazyCompile: ~ok assert.js:356:12
      1    0.1%    0.1%  LazyCompile: ~normalizeString path.js:57:25
      1    0.1%    0.1%  LazyCompile: ~init /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:76:38
      1    0.1%    0.1%  LazyCompile: ~iadd /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:847:37
      1    0.1%    0.1%  LazyCompile: ~defineImmutable /Users/ryan/dev/bsv/lib/util/js.js:62:45
      1    0.1%    0.1%  LazyCompile: ~copy /Users/ryan/dev/bsv/node_modules/bn.js/lib/bn.js:309:37
      1    0.1%    0.1%  LazyCompile: ~alignPool buffer.js:131:19
      1    0.1%    0.1%  LazyCompile: ~_.isString.t /Users/ryan/dev/bsv/lib/util/_.js:8:14
      1    0.1%    0.1%  LazyCompile: ~Transaction._fromNonP2SH /Users/ryan/dev/bsv/lib/transaction/transaction.js:548:47
      1    0.1%    0.1%  LazyCompile: ~Script.toString /Users/ryan/dev/bsv/lib/script/script.js:305:38
      1    0.1%    0.1%  LazyCompile: ~Script.isPublicKeyHashOut /Users/ryan/dev/bsv/lib/script/script.js:328:48
      1    0.1%    0.1%  LazyCompile: ~Script.fromString /Users/ryan/dev/bsv/lib/script/script.js:196:30
